,0
0,Alaska
1,Connecticut
2,Hawaii
3,Indiana
4,Iowa
5,Kansas
6,Maryland
7,Massachusetts
8,Minnesota
9,Missouri
10,Montana
11,New Jersey
12,Rhode Island
